index,host,source,sourcetype,"_raw"
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:47-07:00 Name=""wudfsvc"" RequiredServices=""System.ServiceProcess.ServiceController"" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""False"" DisplayName=""Windows Driver Foundation - User-mode Driver Framework"" DependentServices=""System.ServiceProcess.ServiceController"" MachineName=""."" ServiceName=""wudfsvc"" ServicesDependedOn=""System.ServiceProcess.ServiceController"" ServiceHandle=""SafeServiceHandle"" Status=""Stopped"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""wuauserv"" RequiredServices=""System.ServiceProcess.ServiceController"" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""False"" DisplayName=""Windows Update"" DependentServices="""" MachineName=""."" ServiceName=""wuauserv"" ServicesDependedOn=""System.ServiceProcess.ServiceController"" ServiceHandle=""SafeServiceHandle"" Status=""Stopped"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""WSService"" RequiredServices=""System.ServiceProcess.ServiceController"" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""False"" DisplayName=""Windows Store Service (WSService)"" DependentServices="""" MachineName=""."" ServiceName=""WSService"" ServicesDependedOn=""System.ServiceProcess.ServiceController"" ServiceHandle="""" Status=""Stopped"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""WPDBusEnum"" RequiredServices=""System.ServiceProcess.ServiceController"" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""False"" DisplayName=""Portable Device Enumerator Service"" DependentServices="""" MachineName=""."" ServiceName=""WPDBusEnum"" ServicesDependedOn=""System.ServiceProcess.ServiceController"" ServiceHandle=""SafeServiceHandle"" Status=""Stopped"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""wmiApSrv"" RequiredServices="""" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""True"" DisplayName=""WMI Performance Adapter"" DependentServices="""" MachineName=""."" ServiceName=""wmiApSrv"" ServicesDependedOn="""" ServiceHandle=""SafeServiceHandle"" Status=""Running"" ServiceType=""Win32OwnProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""WinRM"" RequiredServices=""RPCSS HTTP"" CanPauseAndContinue=""False"" CanShutdown=""True"" CanStop=""True"" DisplayName=""Windows Remote Management (WS-Management)"" DependentServices="""" MachineName=""."" ServiceName=""WinRM"" ServicesDependedOn=""RPCSS HTTP"" ServiceHandle=""SafeServiceHandle"" Status=""Running"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""Winmgmt"" RequiredServices=""System.ServiceProcess.ServiceController"" CanPauseAndContinue=""True"" CanShutdown=""True"" CanStop=""True"" DisplayName=""Windows Management Instrumentation"" DependentServices=""FIMSynchronizationService UALSVC SharedAccess NcaSvc iphlpsvc"" MachineName=""."" ServiceName=""Winmgmt"" ServicesDependedOn=""System.ServiceProcess.ServiceController"" ServiceHandle=""SafeServiceHandle"" Status=""Running"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""WinHttpAutoProxySvc"" RequiredServices=""System.ServiceProcess.ServiceController"" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""True"" DisplayName=""WinHTTP Web Proxy Auto-Discovery Service"" DependentServices="""" MachineName=""."" ServiceName=""WinHttpAutoProxySvc"" ServicesDependedOn=""System.ServiceProcess.ServiceController"" ServiceHandle=""SafeServiceHandle"" Status=""Running"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""WerSvc"" RequiredServices="""" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""False"" DisplayName=""Windows Error Reporting Service"" DependentServices="""" MachineName=""."" ServiceName=""WerSvc"" ServicesDependedOn="""" ServiceHandle=""SafeServiceHandle"" Status=""Stopped"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:ServiceInformation","2013-09-11T15:24:46-07:00 Name=""wercplsupport"" RequiredServices="""" CanPauseAndContinue=""False"" CanShutdown=""False"" CanStop=""False"" DisplayName=""Problem Reports and Solutions Control Panel Support"" DependentServices="""" MachineName=""."" ServiceName=""wercplsupport"" ServicesDependedOn="""" ServiceHandle=""SafeServiceHandle"" Status=""Stopped"" ServiceType=""Win32ShareProcess"" Site="""" Container="""""
