index,host,source,sourcetype,"_raw"
perfmon,"SP-APP01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:17:00.225 collection=SPlogicalDisk object=LogicalDisk counter=""Disk Transfers/sec"" instance=_Total Value=@IOPS@"
perfmon,"SP-APP01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:17:00.225 collection=SPlogicalDisk object=LogicalDisk counter=""Disk Transfers/sec"" instance=C: Value=@IOPS@"
perfmon,"SP-APP01","Perfmon:SPProcessor","Perfmon:SPProcessor","09/18/2013 09:16:59.711 collection=SPProcessor object=Processor counter=""% Processor Time"" instance=_Total Value=@PROC@"
perfmon,"SP-APP01","Perfmon:SPNetwork","Perfmon:SPNetwork","09/18/2013 09:17:01.269 collection=SPNetwork object=""Network Interface"" counter=""Bytes Total/sec"" instance=""Intel[R] 82574L Gigabit Network Connection"" Value=@NET@"
perfmon,"SP-APP01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:17:00.225 collection=SPlogicalDisk object=LogicalDisk counter=""% Free Space"" instance=_Total Value=@SPACE@"
perfmon,"SP-APP01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:17:00.225 collection=SPlogicalDisk object=LogicalDisk counter=""% Free Space"" instance=C: Value=@SPACE@"
perfmon,"SP-APP01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:17:00.225 collection=SPlogicalDisk object=LogicalDisk counter=""% Free Space"" instance=HarddiskVolume1 Value=30.945558739255013"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance="".NET v2.0 Classic"" Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance="".NET v4.5 Classic"" Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=""SharePoint Web Services Root"" Value=5"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=SecurityTokenServiceApplicationPool Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=24c3f8d6d5cf46618c4394d316458841 Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=""SharePoint Central Administration v4"" Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=DefaultAppPool Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance="".NET v2.0"" Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=""Classic .NET AppPool"" Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance="".NET v4.5"" Value=3"
perfmon,"SP-APP01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:17:10.895 collection=IIS3 object=APP_POOL_WAS counter=""Current Application Pool State"" instance=5c06f852a6a14ac89e05fc00a8518012 Value=3"
