index,host,source,sourcetype,"_raw"
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:HostInformation","2013-09-10T09:12:39-07:00 OSBuildNumber=""9200"" OSVersion=""6.2.9200"" OSSerialNumber=""00184-70311-25416-AA212"" ComputerName=""SP-APP01"" ComputerDomain=""spl.com"" TotalPhysicalMemory=""8589463552"" SharedToolsVersion=""15.0.0.4420"" IPAddressList=""10.160.203.51,fe80::c81b:308c:cec1:6a16"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""Server"" Id=""121bbec4-86f4-4b96-b42e-f80623907ed6"" Name=""SP-WEB01"" DisplayName=""SP-WEB01"" Status=""Online"" Version=""406715"" Role=""Application"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""Server"" Id=""aa764e74-1d0c-4aed-992e-4106739561ba"" Name=""SP-SQL01"" DisplayName=""SP-SQL01"" Status=""Online"" Version=""2007"" Role=""Invalid"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""Server"" Id=""ba2a48b8-5c7e-4721-acf9-6aacddd62d35"" Name=""SP-SEARCH01"" DisplayName=""SP-SEARCH01"" Status=""Online"" Version=""406713"" Role=""Application"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""Server"" Id=""b6616c45-bcd6-4c5c-92b0-c0a746e8c42f"" Name=""SP-APP01"" DisplayName=""SP-APP01"" Status=""Online"" Version=""406725"" Role=""Application"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""AlternateUrl"" Uri="""" Zone="""" IncomingUrl="""" PublicUrl="""" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""AlternateUrl"" Uri="""" Zone="""" IncomingUrl="""" PublicUrl="""" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:04-07:00 Type=""Farm"" Id=""b64c54bb-6682-484c-949f-782b7b147853"" Name=""SharePoint_Config"" DisplayName=""SharePoint_Config"" Status=""Online"" Version=""12493"" BuildVersion=""15.0.4420.1017"" DiskSizeRequired=""0"" PersistedFileChunkSize=""4194304"" CEIPEnabled=""True"" DefaultServiceAccount=""S-1-5-21-2882450500-3417635276-1240590811-1208"" DownloadErrorReportingUpdates=""True"" ErrorReportingAutomaticUpload=""True"" ErrorReportingEnabled=""True"" IsBackwardsCompatible=""True"" PasswordChangeEmailAddress="""" PassswordChangeGuardTime="""" PasswordChangeMaximumTries=""5"" DaysBeforePasswordExpirationToSendEmail=""10"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""85ee6577-f2b4-412e-bffa-0e7999233b78"" DisplayName=""WSS_Administration"" Name=""Central Administration"" Status=""Online"" Version=""8427"" Hidden=""False"" Instance=""WSS_Administration"" Roles="""" Server=""SP-APP01"" Service=""SPWebService Name=WSS_Administration"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""8af471f8-dfcd-4fe0-a331-d0ebb0c2abf6"" DisplayName="""" Name=""Microsoft SharePoint Foundation Web Application"" Status=""Disabled"" Version=""39738"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""SPWebService"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""49d64555-43af-461b-8ce0-da5b70509210"" DisplayName="""" Name=""Work Management Service"" Status=""Online"" Version=""12218"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""WorkManagementService"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""54f473ed-43ca-44d6-966a-9fb3b1e6302b"" DisplayName="""" Name=""Search Query and Site Settings Service"" Status=""Online"" Version=""12216"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""SearchQueryAndSiteSettingsService"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""7cf9ddec-cacb-445b-9c3a-b86171eb85c5"" DisplayName=""Load Balancer Service"" Name=""Document Conversions Load Balancer Service"" Status=""Disabled"" Version=""5883"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""LoadBalancerService Name=DCLoadBalancer15"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""10b500e1-2af7-490e-908c-789d4a767fc9"" DisplayName=""Launcher Service"" Name=""Document Conversions Launcher Service"" Status=""Disabled"" Version=""5874"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""LauncherService Name=DCLauncher15"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""2126b169-96bf-44fe-891d-eb44d10dc6cd"" DisplayName="""" Name=""SharePoint Server Search"" Status=""Online"" Version=""12571"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""SearchService Name=OSearch15"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""c15993ac-57fa-4ff4-a527-05f48cecc364"" DisplayName="""" Name=""Visio Graphics Service"" Status=""Online"" Version=""12214"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""VisioGraphicsService"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""d07a7837-822c-49b7-b654-9688367ba1e5"" DisplayName="""" Name=""Microsoft SharePoint Foundation Sandboxed Code Service"" Status=""Disabled"" Version=""3005"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""SPUserCodeService Name=SPUserCodeV4"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""3bb81db3-52a3-440e-89ee-c92277bd0d42"" DisplayName="""" Name=""PerformancePoint Service"" Status=""Online"" Version=""12212"" Hidden=""False"" Instance="""" Roles="""" Server=""SP-APP01"" Service=""BIMonitoringService"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
mssharepoint,"SP-APP01",Powershell,"MSSharePoint:2013:Inventory","2013-09-11T16:45:07-07:00 Type=""ServiceInstance"" Id=""2081065c-d6e3-4884-8340-49c8566dff85"" DisplayName=""spworkflowtimerv4i"" Name=""Microsoft SharePoint Foundation Workflow Timer Service"" Status=""Online"" Version=""2995"" Hidden=""False"" Instance=""spworkflowtimerv4i"" Roles="""" Server=""SP-APP01"" Service=""SPWorkflowTimerService Name=spworkflowtimerv4"" SystemService=""False"" FarmId=""b64c54bb-6682-484c-949f-782b7b147853"""
