index,host,source,sourcetype,"_raw"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance="".NET v2.0 Classic""
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance="".NET v4.5 Classic""
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance=DefaultAppPool
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance="".NET v2.0""
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance=""Classic .NET AppPool""
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance="".NET v4.5""
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance=""SharePoint - 80""
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance=""SharePoint Web Services Root""
Value=5"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance=SecurityTokenServiceApplicationPool
Value=3"
perfmon,"SP-WEB01","Perfmon:IIS3","Perfmon:IIS3","09/18/2013 09:18:38.968
collection=IIS3
object=APP_POOL_WAS
counter=""Current Application Pool State""
instance=24c3f8d6d5cf46618c4394d316458841
Value=3"
perfmon,"SP-WEB01","Perfmon:SPNetwork","Perfmon:SPNetwork","09/18/2013 09:18:41.077
collection=SPNetwork
object=""Network Interface""
counter=""Bytes Total/sec""
instance=""Intel[R] 82574L Gigabit Network Connection""
Value=@NET@"
perfmon,"SP-WEB01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:18:40.534
collection=SPlogicalDisk
object=LogicalDisk
counter=""Disk Transfers/sec""
instance=_Total
Value=@IOPS@"
perfmon,"SP-WEB01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:18:40.534
collection=SPlogicalDisk
object=LogicalDisk
counter=""Disk Transfers/sec""
instance=C:
Value=@IOPS@"
perfmon,"SP-WEB01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:18:40.534
collection=SPlogicalDisk
object=LogicalDisk
counter=""% Free Space""
instance=_Total
Value=@SPACE@"
perfmon,"SP-WEB01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:18:40.534
collection=SPlogicalDisk
object=LogicalDisk
counter=""% Free Space""
instance=C:
Value=@SPACE@"
perfmon,"SP-WEB01","Perfmon:SPlogicalDisk","Perfmon:SPlogicalDisk","09/18/2013 09:18:40.534
collection=SPlogicalDisk
object=LogicalDisk
counter=""% Free Space""
instance=HarddiskVolume1
Value=30.945558739255013"
perfmon,"SP-WEB01","Perfmon:SPProcessor","Perfmon:SPProcessor","09/18/2013 09:18:41.557
collection=SPProcessor
object=Processor
counter=""% Processor Time""
instance=_Total
Value=@PROC@"
