index,host,source,sourcetype,"_raw"
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""AeLookupSvc""
DisplayName=""Application Experience""
Description=""Processes application compatibility cache requests for applications as they are launched""
Path=""C:\\Windows\\system32\\svchost.exe -k netsvcs""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""ALG""
DisplayName=""Application Layer Gateway Service""
Description=""Provides support for 3rd party protocol plug-ins for Internet Connection Sharing""
Path=""C:\\Windows\\System32\\alg.exe""
ServiceType=""Own Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""AppHostSvc""
DisplayName=""Application Host Helper Service""
Description=""Provides administrative services for IIS, for example configuration history and Application Pool account mapping. If this service is stopped, configuration history and locking down files or directories with Application Pool specific Access Control Entries will not work.""
Path=""C:\\Windows\\system32\\svchost.exe -k apphost""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""AppIDSvc""
DisplayName=""Application Identity""
Description=""Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.""
Path=""C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""Appinfo""
DisplayName=""Application Information""
Description=""Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.""
Path=""C:\\Windows\\system32\\svchost.exe -k netsvcs""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""AppMgmt""
DisplayName=""Application Management""
Description=""Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.""
Path=""C:\\Windows\\system32\\svchost.exe -k netsvcs""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""aspnet_state""
DisplayName=""ASP.NET State Service""
Description=""Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.""
Path=""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\aspnet_state.exe""
ServiceType=""Own Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""AudioEndpointBuilder""
DisplayName=""Windows Audio Endpoint Builder""
Description=""Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start""
Path=""C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""AudioSrv""
DisplayName=""Windows Audio""
Description=""Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start""
Path=""C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK"""
mssharepoint,"SP10-APP01",service,WinHostMon,"2013-09-11T15:24:46-07:00 Type=Service
Name=""BFE""
DisplayName=""Base Filtering Engine""
Description=""The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.""
Path=""C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK"""
